ID,street1,street2,latitude,longitude,neighbour 1,neighbour 2,neighbour 3,neighbour 4,neighbour 5
1,College Street,Spadina Avenue,43.657920,-79.400070,2,10,,,
2,College Street,Huron Street,43.658285,-79.398214,1,3,68,,
3,College Street,St. George Street,43.658707,-79.396099,2,71,4,,
4,College Street,King's College Road,43.659111,-79.394063,3,5,76,,
5,College Street,McCaul Street,43.659210,-79.393487,4,50,6,,
6,College Street,Queen's Park - University Avenue,43.659878,-79.390504,5,48,69,7,
7,College Street,Elizabeth Street,43.660524,-79.387410,6,8,,,
8,College Street,Laplante Avenue,43.660663,-79.386659,7,9,,,
9,College Street,Bay Street,43.660833,-79.385862,8,77,,,
10,Ursula Franklin Street,Spadina Avenue,43.659844,-79.399909,1,68,18,,
11,Ursula Franklin Street,St. George Street,43.660438,-79.396958,13,78,68,,
12,Bancroft Avenue,Huron Street,43.660869,-79.399009,19,68,,,
13,Galbraith Road,St. George Street,43.660127,-79.396812,11,71,14,,
14,Galbraith Road,King's College Road,43.660782,-79.394811,72,76,13,,
15,King's College Circle,Hart House Circle,43.662565,-79.394538,73,75,16,25,
16,Wellesley Street,Queen's Park (West),43.663132,-79.392821,15,69,17,26,56
17,Wellesley Street,Queen's Park (East),43.663627,-79.390619,16,77,57,56,69
18,Willcocks Street,Spadina Avenue,43.661313,-79.401411,10,20,19,,
19,Willcocks Street,Huron Street,43.661705,-79.399353,12,21,18,78,
20,Classic Avenue,Spadina Avenue,43.662234,-79.401602,18,21,22,,
21,Classic Avenue,Huron Street,43.662618,-79.399696,20,19,23,70,
22,Harbord Street,Spadina Avenue,43.663090,-79.402054,20,23,28,,
23,Harbord Street,Huron Street,43.663506,-79.400079,22,24,21,29,
24,Harbord Street - Hoskin Avenue,St. George Street,43.664092,-79.398440,23,27,70,32,
25,Hoskin Avenue,Tower Road,43.664665,-79.395705,27,15,26,,
26,Hoskin Avenue,Queen's Park,43.665071,-79.393920,16,25,56,79,
27,Hoskin Avenue,Devonshire Place,43.664434,-79.396925,24,25,80,,
28,Glen Morris Street,Spadina Avenue,43.663924,-79.402264,22,29,30,,
29,Glen Morris Street,Huron Street,43.664320,-79.400431,23,28,31,,
30,Sussex Avenue,Spadina Avenue,43.664690,-79.402692,28,31,33,,
31,Sussex Avenue,Huron Street,43.665103,-79.400667,29,30,32,34,
32,Sussex Avenue,St. George Street,43.665418,-79.399000,24,31,38,,
33,Washington Avenue,Spadina Avenue,43.665542,-79.402970,30,34,35,,
34,Washington Avenue,Huron Street,43.665926,-79.401046,31,33,37,,
35,Bloor Street,Spadina Avenue,43.666700,-79.403831,33,36,54,,
36,Bloor Street,Madison Avenue,43.666953,-79.402701,35,37,81,,
37,Bloor Street,Huron Street,43.667150,-79.401556,36,34,38,,
38,Bloor Street,St. George Street,43.667557,-79.399824,32,37,39,,
39,Bloor Street,Devonshire Place,43.667824,-79.398300,38,80,40,,
40,Bloor Street,Bedford Road,43.668052,-79.397431,39,41,,,
41,Bloor Street,Queen's Park - Avenue Road,43.668717,-79.394140,40,59,42,,
42,Bloor Street,Bay Street,43.669762,-79.389488,41,61,,,
43,Armoury Street,University Avenue,43.653152,-79.387427,45,44,,,
44,Armoury Street,Centre Avenue,43.653397,-79.386466,43,47,82,,
45,Dundas Street,University Avenue,43.654821,-79.388244,43,53,47,,
