code,name,longitude,latitude,amenity_1,amenity_2,amenity_3,amenity_4,amenity_5,amenity_6,amenity_7
AB,Astronomy & Astrophysics,43.660427,-79.397576,coffee,,,,,,
AD,Enrolment Services,43.668060,-79.400486,,,,,,,
AH,Alumni Hall,43.664768,-79.390107,,,,,,,
AN,Annesley Hall,43.667663,-79.393015,atm,,,,,,
AP,Anthropology Building,43.659912,-79.398422,,,,,,,
BA,Bahen Centre for Information Technology,43.659841,-79.397507,dining,coffee,microwave,,,,
BC,Birge-Carnegie Library,43.667109,-79.392870,library,,,,,,
BF,Bancroft Building,43.660975,-79.399482,,,,,,,
BI,Banting Institute,43.660481,-79.388658,,,,,,,
BL,Claude T. Bissell Building,43.664996,-79.399076,,,,,,,
BN,Clara Benson Building,43.662973,-79.400245,gym,,,,,,
BR,Brennan Hall,43.666374,-79.389759,,,,,,,
BS,St. Basil's Church,43.666353,-79.389151,,,,,,,
BT,Isabel Bader Theatre,43.667333,-79.392566,,,,,,,
BW,Burwash Hall,43.666970,-79.390894,dining,,,,,,
CA,Campus Co-op Day Care,43.664582,-79.400638,,,,,,,
CG,Canadiana Gallery,43.661981,-79.392647,,,,,,,
CH,Convocation Hall,43.660697,-79.395161,,,,,,,
CM,Student Commons,43.658425,-79.397863,atm,,,,,,
CN,89 Chestnut ,43.654094,-79.385001,,,,,,,
CO,162 St. George Street,43.667129,-79.399859,,,,,,,
CR,Carr Hall,43.665136,-79.390446,,,,,,,
CS,School of Continuing Studies,43.666769,-79.399701,,,,,,,
CU,Cumberland House,43.659332,-79.396048,,,,,,,
CX,Communication House,43.658863,-79.393451,,,,,,,
DA,Daniels Building,43.659726,-79.400261,,,,,,,
DC,Terrence Donnelly Centre for Cellular & Biomolecular Research,43.659865,-79.392838,,,,,,,
DN,Dentistry Building,43.655947,-79.386959,,,,,,,
DR,J. Robert S. Prichard Alumni House,43.662130,-79.396555,,,,,,,
EA,Engineering Annex,43.659757,-79.394941,,,,,,,
EH,Elmsley Hall,43.666661,-79.390325,,,,,,,
EJ,Edward Johnson Building,43.666603,-79.394275,,,,,,,
EM,Emmanuel College,43.666750,-79.392458,library,study,,,,,
EP,Stewart Building,43.659416,-79.391974,,,,,,,
ER,Early Learning Centre,43.663973,-79.400942,,,,,,,
ES,Earth Sciences Centre,43.660726,-79.399653,,,,,,,
EX,Exam Centre,43.658545,-79.392924,,,,,,,
FA,Faculty Association,43.665445,-79.402377,,,,,,,
FC,Faculty Club,43.661327,-79.400614,,,,,,,
FE,371 Bloor,43.666865,-79.402354,,,,,,,
FG,FitzGerald Building,43.660187,-79.392318,,,,,,,
FH,Falconer Hall,43.666780,-79.394009,,,,,,,
FI,Fields Institute,43.658861,-79.397532,,,,,,,
GA,Gage Building,43.658218,-79.397198,,,,,,,
GB,Galbraith Building,43.659602,-79.396232,,,,,,,
GC,Goldring Student Centre,43.667641,-79.392516,dining,coffee,microwave,,,,
GD,Graduate House,43.663545,-79.401622,,,,,,,
GE,Max Gluskin House,43.666137,-79.399722,,,,,,,
GI,George Ignatieff Theatre,43.665578,-79.397158,,,,,,,
GM,Luella Massey Studio Theatre,43.664286,-79.401141,,,,,,,
GO,Goldring Centre for High Performance Sport,43.666896,-79.398216,gym,,,,,,
GR,John W. Graham Library,43.665084,-79.396436,library,study,,,,,
GS,School of Graduate Studies,43.662000,-79.397156,,,,,,,
GU,Graduate Students' Union,43.660226,-79.400045,,,,,,,
HA,Haultain Building,43.659886,-79.393604,,,,,,,
HH,Hart House,43.663544,-79.394764,dining,gym,library,study,,,
HI,St. Hilda's College,43.665713,-79.397849,,,,,,,
HS,Health Sciences Building,43.659080,-79.392777,,,,,,,
HU,215 Huron,43.659216,-79.398337,,,,,,,
IA,Internal Audit,43.665725,-79.402697,,,,,,,
IN,Innis College,43.665528,-79.399543,library,study,writing centre,,,,
IR,Centre for Industrial Relations,43.666714,-79.399025,,,,,,,
IS,Innis College Student ,43.665774,-79.398510,,,,,,,
JH,Jackman Humanities Building,43.667712,-79.400205,,,,,,,
JP,90 Wellesley,43.664130,-79.389528,,,,,,,
KL,John M. Kelly Library,43.664982,-79.389567,library,study,,,,,
KP,Koffler House,43.660644,-79.400845,,,,,,,
KS,Koffler Student Services Centre,43.658871,-79.396920,coffee,atm,,,,,
KX,Knox College,43.661334,-79.397097,library,study,,,,,
LA,Gerald Larkin Building,43.665592,-79.396861,dining,microwave,study,writing centre,,,
LB,Lower Burwash House,43.666630,-79.390832,,,,,,,
LC,Loretto College,43.667263,-79.390035,,,,,,,
LG,Fasken Martineau Building,43.664083,-79.402028,,,,,,,
LI,Lillian Massey Building,43.668371,-79.393751,,,,,,,
LM,Lash Miller Chemical Labs,43.661779,-79.397690,library,study,,,,,
