ID,name_latitude,name_longitude,latitude,longitude
1,College Street,Spadina Avenue,43.657920,-79.400070
2,College Street,Huron Street,43.658285,-79.398214
3,College Street,St. George Street,43.658707,-79.396099
4,College Street,King's College Road,43.659111,-79.394063
5,College Street,McCaul Street,43.659210,-79.393487
6,College Street,Queen's Park - University Avenue,43.659878,-79.390504
7,College Street,Elizabeth Street,43.660524,-79.387410
8,College Street,Laplante Avenue,43.660663,-79.386659
9,College Street,Bay Street,43.660833,-79.385862
10,Ursula Franklin Street,Spadina Avenue,43.659844,-79.399909
11,Ursula Franklin Street,St. George Street,43.660438,-79.396958
12,Bancroft Avenue,Huron Street,43.660869,-79.399009
13,Galbraith Road,St. George Street,43.660127,-79.396812
14,Galbraith Road,King's College Road,43.660782,-79.394811
15,King's College Circle,Hart House Circle,43.662565,-79.394538
16,Wellesley Street,Queen's Park (West),43.663132,-79.392821
17,Wellesley Street,Queen's Park (East),43.663627,-79.390619
18,Willcocks Street,Spadina Avenue,43.661313,-79.401411
19,Willcocks Street,Huron Street,43.661705,-79.399353
20,Classic Avenue,Spadina Avenue,43.662234,-79.401602
21,Classic Avenue,Huron Street,43.662618,-79.399696
22,Harbord Street,Spadina Avenue,43.663090,-79.402054
23,Harbord Street,Huron Street,43.663506,-79.400079
24,Harbord Street - Hoskin Avenue,St. George Street,43.664092,-79.398440
25,Hoskin Avenue,Tower Road,43.664665,-79.395705
26,Hoskin Avenue,Queen's Park,43.665071,-79.393920
27,Hoskin Avenue,Devonshire Place,43.664434,-79.396925
28,Glen Morris Street,Spadina Avenue,43.663924,-79.402264
29,Glen Morris Street,Huron Street,43.664320,-79.400431
30,Sussex Avenue,Spadina Avenue,43.664690,-79.402692
31,Sussex Avenue,Huron Street,43.665103,-79.400667
32,Sussex Avenue,St. George Street,43.665418,-79.399000
33,Washington Avenue,Spadina Avenue,43.665542,-79.402970
34,Washington Avenue,Huron Street,43.665926,-79.401046
35,Bloor Street,Spadina Avenue,43.666700,-79.403831
36,Bloor Street,Madison Avenue,43.666953,-79.402701
37,Bloor Street,Huron Street,43.667150,-79.401556
38,Bloor Street,St. George Street,43.667557,-79.399824
39,Bloor Street,Devonshire Place,43.667824,-79.398300
40,Bloor Street,Bedford Road,43.668052,-79.397431
41,Bloor Street,Queen's Park - Avenue Road,43.668717,-79.394140
42,Bloor Street,Bay Street,43.669762,-79.389488
43,Armoury Street,University Avenue,43.653152,-79.387427
44,Armoury Street,Centre Avenue,43.653344,-79.368398
45,Dundas Street,University Avenue,43.654821,-79.388244
46,Dundas Street,Chestnut Street,43.655241,-79.386013
47,Dundas Street,Centre Avenue,43.655060,-79.387092
48,Orde Street,University Avenue,43.658655,-79.390050
49,Orde Street,Murray Street,43.658372,-79.391403
50,Orde Street,McCaul Street,43.658053,-79.393008
51,Gerrard Street,University Avenue,43.657584,-79.389504
52,Elm Street,University Avenue,43.656372,-79.388921
53,Edward Street,University Avenue,43.655442,-79.388562
54,Annex Lane,Spadina Avenue,43.667492,-79.404200
55,Lowther Avenue,Spadina Avenue,43.668972,-79.404751
56,Queen's Park,Queen's Park,43.664467,-79.392373
57,St. Joseph Street,Queen's Park,43.664856,-79.391113
58,St. Joseph Street,Bay Street,43.665682,-79.387627
59,Charles Street,Queen's Park,43.667265,-79.393510
60,Charles Street,St. Thomas Street,43.667925,-79.390395
61,Charles Street,Bay Street,43.668211,-79.388831
62,Charles Street,La Scala Lane,43.668304,-79.388203
63,Charles Street,St. Nicholas Street,43.668514,-79.387057
64,Charles Street,Yonge Street,46.668736,-79.386164
65,St. Mary Street,Bay Street,43.667441,-79.388489
66,St. Mary Street,St. Nicholas Street,43.667803,-79.386756
67,St. Mary Street,Yonge Street,43.667993,-79.385844
